generation,best_fitness,mean_fitness,fitness_std,best_completion_ratio,best_mean_response,best_energy,jobs_in_snapshot,satellites_in_snapshot,stagnation_generations,world_reset
161,0.6,0.5507769726247986,0.0948559587874175,1.0,23.4,336.0,20,10,6,0
162,0.6,0.5427212885154061,0.09540618139064012,1.0,23.4,336.0,20,10,7,0
163,0.6,0.5558963585434173,0.0845773868889603,1.0,23.4,336.0,20,10,8,0
164,0.6,0.5612062786697247,0.08003471170165745,1.0,23.4,336.0,20,10,9,0
165,0.6,0.559735294117647,0.0808375735355903,1.0,23.4,336.0,20,10,0,1
166,0.6,0.5577436974789916,0.08288611382321234,1.0,23.4,336.0,20,10,0,0
167,0.6,0.5600024154589371,0.08508270843336031,1.0,23.4,336.0,20,10,1,0
168,0.6,0.5618848631239935,0.08441707178887285,1.0,23.4,336.0,20,10,2,0
169,0.6,0.5590399159663866,0.08004897096314086,1.0,23.4,336.0,20,10,3,0
170,0.6,0.5619133375275244,0.08342697354887557,1.0,23.4,336.0,20,10,4,0
171,0.6,0.5539572192513369,0.08836038108448455,1.0,23.4,336.0,20,10,5,0
172,0.6,0.5515397923875432,0.08965550543005643,1.0,23.4,336.0,20,10,6,0
173,0.6,0.5511050420168067,0.08697974900949028,1.0,23.4,336.0,20,10,7,0
174,0.6,0.5540924819125511,0.08946336566227456,1.0,23.4,336.0,20,10,8,0
175,0.6,0.5608823529411765,0.07914977544638177,1.0,23.4,336.0,20,10,9,0
176,0.6,0.5554797106008178,0.09094667254421421,1.0,23.4,336.0,20,10,0,1
177,0.6,0.5579006041426927,0.0832137169846102,1.0,23.4,336.0,20,10,0,0
178,0.6,0.5503270308123249,0.08717318723771786,1.0,23.4,336.0,20,10,1,0
179,0.6,0.5756312399355877,0.0693554497271863,1.0,23.4,336.0,20,10,2,0
180,0.6,0.5700602240896359,0.07143109885955223,1.0,23.4,336.0,20,10,3,0
181,0.6,0.5634180672268907,0.07923390056047135,1.0,23.4,336.0,20,10,4,0
182,0.6,0.5502595155709342,0.09263155626848425,1.0,23.4,336.0,20,10,5,0
183,0.6,0.5545063871146904,0.0858492651095039,1.0,23.4,336.0,20,10,6,0
184,0.6,0.5578350110097514,0.08754367932371367,1.0,23.4,336.0,20,10,7,0
185,0.6,0.5511820728291316,0.08876517414883134,1.0,23.4,336.0,20,10,8,0
186,0.6,0.5608006115223688,0.08559197942533438,1.0,23.4,336.0,20,10,9,0
187,0.6,0.5726626409017713,0.07284968667075412,1.0,23.4,336.0,20,10,0,1
